RA	Dec	JP11	LID	n_LID	U	B	V	R	I	J	K	L	M	N	H	ref	_RA	_DE
239.3359292	+29.7749861	   118	 0.03002726	 	11.560	10.920	10.030	 9.290	      	      	      	      	      	      	      	8104	239.33593	+29.77499
268.1691958	+30.1077778	   119	 0.03003075	 	12.890	11.330	10.000	 8.980	      	      	      	      	      	      	      	8104	268.16920	+30.10778
290.4175667	+31.1621417	   120	 0.03003526	 	      	      	      	      	      	      	 9.300	      	      	      	 9.300	8111	290.41757	+31.16214
329.1784625	+31.1522472	   121	 0.03004564	 	11.170	10.970	10.290	 9.700	      	      	      	      	      	      	      	8104	329.17846	+31.15225
184.3970792	+31.1333944	   122	 0.03102347	 	12.420	11.710	10.780	10.050	 9.640	      	      	      	      	      	      	8061	184.39708	+31.13339
184.5795500	+30.9209528	   123	 0.03102349	 	12.540	11.730	10.700	 9.870	 9.340	      	      	      	      	      	      	8061	184.57955	+30.92095
184.9960167	+30.2670222	   124	 0.03102354	 	12.330	11.440	10.400	 9.640	 9.110	      	      	      	      	      	      	8061	184.99602	+30.26702
185.4145583	+30.3960333	   125	 0.03102356	 	11.590	11.370	10.720	10.240	 9.940	      	      	      	      	      	      	8061	185.41456	+30.39603
189.8816125	+31.0026056	   126	 0.03102392	 	11.010	10.360	 9.380	 8.640	 8.160	      	      	      	      	      	      	8061	189.88161	+31.00261
189.9790333	+30.7466500	   127	 0.03102394	 	11.990	11.290	10.290	 9.550	 9.060	      	      	      	      	      	      	8061	189.97903	+30.74665
193.0482917	+31.0662389	   128	 0.03102416	 	13.180	12.080	10.920	10.060	 9.480	      	      	      	      	      	      	8061	193.04829	+31.06624
193.1403792	+31.1162972	   129	 0.03102417	 	12.170	10.650	 9.300	 8.260	 7.550	      	      	      	      	      	      	8061	193.14038	+31.11630
113.6558583	+31.8693861	   130	 0.03201582	 	11.600	10.560	 9.070	 7.690	 6.670	 6.160	 5.140	      	      	      	      	8004	113.65586	+31.86939
113.6558583	+31.8693861	   130	 0.03201582	 	      	      	      	      	      	 6.010	 5.160	 5.120	      	      	 5.340	8134	113.65586	+31.86939
183.5500000	+31.2166667	   132	 0.03202230	 	12.770	12.240	11.420	10.790	10.410	      	      	      	      	      	      	8061	183.55000	+31.21667
183.5971667	+31.2200694	   133	 0.03202231	 	12.630	11.820	10.820	10.090	 9.620	      	      	      	      	      	      	8061	183.59717	+31.22007
192.9550833	+31.8279111	   134	 0.03202286	 	13.120	12.070	10.970	10.130	 9.590	      	      	      	      	      	      	8061	192.95508	+31.82791
109.8803608	+32.8300922	   135	 0.03301505	 	      	      	      	      	      	      	 6.390	      	      	      	 6.540	8130	109.88036	+32.83009
182.6841375	+33.0785611	   136	 0.03302196	 	12.040	11.430	10.490	 9.740	 9.250	      	      	      	      	      	      	8061	182.68414	+33.07856
183.0500000	+33.1000000	   137	 0.03302202	 	12.510	11.930	11.010	10.290	 9.820	      	      	      	      	      	      	8061	183.05000	+33.10000
184.3572875	+32.4745472	   138	 0.03302214	 	12.220	11.630	10.700	10.020	 9.560	      	      	      	      	      	      	8061	184.35729	+32.47455
184.5170208	+32.4888139	   139	 0.03302218	 	11.960	11.340	10.390	 9.640	 9.130	      	      	      	      	      	      	8061	184.51702	+32.48881
186.2766708	+32.7491889	   140	 0.03302234	 	12.280	11.470	10.460	 9.660	 9.140	      	      	      	      	      	      	8061	186.27667	+32.74919
187.2248125	+33.1727444	   141	 0.03302241	 	12.110	10.780	 9.570	 8.690	 8.150	      	      	      	      	      	      	8061	187.22481	+33.17274
187.2273581	+32.9234853	   142	 0.03302242	 	10.680	 9.920	 8.920	 8.150	 7.690	      	      	      	      	      	      	8061	187.22736	+32.92349
189.1388208	+32.3567250	   143	 0.03302254	 	12.550	11.480	10.360	 9.520	 8.970	      	      	      	      	      	      	8061	189.13882	+32.35672
189.1888458	+32.9097472	   144	 0.03302255	 	11.350	10.490	 9.510	 8.750	 8.250	      	      	      	      	      	      	8061	189.18885	+32.90975
191.6177958	+33.0640194	   145	 0.03302267	 	11.550	10.340	 9.200	 8.350	 7.810	      	      	      	      	      	      	8061	191.61780	+33.06402
191.8577167	+32.7793472	   146	 0.03302270	 	12.760	11.450	10.240	 9.330	 8.800	      	      	      	      	      	      	8061	191.85772	+32.77935
191.8989097	+32.8437881	   147	 0.03302271	 	12.070	10.390	 9.010	 7.970	 7.290	      	      	      	      	      	      	8061	191.89891	+32.84379
191.9219542	+32.9972472	   148	 0.03302272	 	12.140	11.230	10.140	 9.290	 8.700	      	      	      	      	      	      	8061	191.92195	+32.99725
191.9794042	+33.0553111	   149	 0.03302273	 	12.540	11.880	10.900	10.120	 9.610	      	      	      	      	      	      	8061	191.97940	+33.05531
010.7010497	+35.5487836	   150	 0.03400106	 	      	      	      	      	      	      	 6.280	 6.100	      	      	 6.450	8130	010.70105	+35.54878
305.3015250	+35.6194056	   151	 0.03504077	 	14.720	12.650	 9.720	 6.830	 4.650	 3.300	 1.610	 1.120	      	      	 2.110	8057	305.30152	+35.61941
