#DM	RA	Dec	U	B1	B	B2	V2	V1	V	G
-08.26093 	4.70167	-68.7611	14.611	13.688	12.209	13.24	-99.999	12.201	11.362	12.163
-45.00077 	4.78958	-45.2611	11.541	10.766	9.415	10.537	-99.999	9.803	 9.020	9.97
-09.00048 	4.84917	-8.82806	6.628	5.601	4.14	5.197	-99.999	4.348	 3.560	4.488
-40.00056 	4.84583	-40.1114	9.371	9.064	7.967	9.261	-99.999	8.864	 8.113	9.153
-38.00068 	4.87375	-37.7614	10.635	10.023	9.058	10.47	-99.999	10.418	 9.694	10.826
-60.00024 	4.83458	-59.6944	10.119	9.478	8.218	9.397	-99.999	8.727	 7.958	8.928
-72.00028 	4.78208	-71.4778	11.954	11.733	10.655	11.962	-99.999	11.545	10.797	11.825
-03.00035 	4.95375	-2.52806	11.713	11.432	10.331	11.619	-99.999	11.209	10.453	11.49
          	4.82708	-71.9611	16.725	15.219	13.733	14.823	-99.999	13.906	13.141	14.142
-78.00006 	4.75875	-77.9944	8.764	8.232	7.253	8.651	-99.999	8.51	 7.780	8.882
+48.00079 	5.02875	48.8553	7.203	6.495	5.624	7.114	-99.999	7.236	 6.525	7.712
-65.00013 	4.915	-64.9114	5.222	5.004	3.956	5.307	-99.999	4.978	 4.234	5.299
+08.00032 	5.03792	9.52194	10.448	10.196	9.129	10.436	-99.999	10.063	 9.318	10.362
          	4.89792	-72.1781	15.856	14.699	13.252	14.324	-99.999	13.385	12.603	13.518
          	5.0425	-17.0614	15.016	14.075	12.608	13.64	-99.999	12.492	11.670	12.486
+30.00042 	5.10667	30.9383	5.654	5.614	4.793	6.349	-99.999	6.569	 5.873	7.088
-33.00095 	5.0775	-32.7781	9.815	9.539	8.422	9.688	-99.999	9.252	 8.505	9.512
+25.00037 	5.1775	26.4883	11.092	9.818	8.244	9.227	-99.999	8.206	 7.395	8.26
+07.00036 	5.16208	8.18833	8.871	7.681	6.146	7.167	-99.999	6.195	 5.390	6.276
          	5.16333	-21.6281	13.005	12.374	11.449	12.906	-99.999	12.964	12.264	13.415
-37.00086 	5.1475	-36.9447	10.278	10.002	8.929	10.247	-99.999	9.875	 9.137	10.185
-29.00081 	5.18125	-28.8781	13.28	12.661	11.297	12.406	-99.999	11.771	10.960	11.849
+10.00032 	5.23917	10.9717	7.061	6.544	5.669	7.16	-99.999	7.264	 6.560	7.738
-16.00051 	5.21833	-15.645	10.562	10.218	9.074	10.332	-99.999	9.889	 9.138	10.153
          	5.09375	-71.9447	15.898	14.906	13.649	14.808	-99.999	13.861	13.065	13.992
          	5.09333	-72.0281	15.743	14.963	13.55	14.647	-99.999	13.76	12.991	13.885
+37.00045 	5.29042	37.9717	6.127	5.731	4.736	6.124	-99.999	5.911	 5.165	6.259
+35.00053 	5.31333	35.8717	8.221	7.661	6.705	8.117	-99.999	8.092	 7.377	8.512
-70.00012 	5.15917	-69.6281	5.821	5.322	4.47	5.998	-99.999	6.181	 5.488	6.69
+60.00039 	5.41542	61.7217	9.292	9.637	8.785	10.308	-99.999	10.189	 9.468	10.59
          	5.18958	-72.0947	16.075	14.66	13.065	14.074	-99.999	12.951	12.135	13.017
+35.00056 	5.38917	36.255	9.5	8.933	7.947	9.324	-99.999	9.198	 8.474	9.577
          	5.2125	-72.245	15.748	14.874	13.369	14.423	-99.999	13.438	12.651	13.538
-46.00076 	5.33333	-45.7283	13.705	12.763	11.297	12.332	-99.999	11.232	10.405	11.216
          	5.23583	-72.3783	16.108	14.954	13.471	14.563	-99.999	13.65	12.857	13.794
-29.00086 	5.38	-28.9783	7.522	6.799	5.485	6.625	-99.999	5.944	 5.172	6.153
          	5.26042	-72.3283	15.563	14.563	13.204	14.258	-99.999	13.445	12.678	13.584
